,Code,CodePlain,Level,Term,ICD-10-TM,CHAPTER,BLOCK
0,A00,A00,1,Cholera,HEADING,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
1,A00.0,A000,2,"Cholera due to Vibrio cholerae 01, biovar cholerae",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
2,A00.1,A001,2,"Cholera due to Vibrio cholerae 01, biovar eltor",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
3,A00.9,A009,2,"Cholera, unspecified",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
4,A01,A01,1,Typhoid and paratyphoid fevers,HEADING,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
5,A01.0,A010,2,Typhoid fever,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
6,A01.1,A011,2,Paratyphoid fever A,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
7,A01.2,A012,2,Paratyphoid fever B,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
8,A01.3,A013,2,Paratyphoid fever C,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
9,A01.4,A014,2,"Paratyphoid fever, unspecified",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
10,A02,A02,1,Other salmonella infections,HEADING,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
11,A02.0,A020,2,Salmonella enteritis,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
12,A02.1,A021,2,Salmonella sepsis,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
13,A02.2,A022,2,Localized salmonella infections,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
14,A02.8,A028,2,Other specified salmonella infections,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
15,A02.9,A029,2,"Salmonella infection, unspecified",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
16,A03,A03,1,Shigellosis,HEADING,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
17,A03.0,A030,2,Shigellosis due to Shigella dysenteriae,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
18,A03.1,A031,2,Shigellosis due to Shigella flexneri,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
19,A03.2,A032,2,Shigellosis due to Shigella boydii,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
20,A03.3,A033,2,Shigellosis due to Shigella sonnei,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
21,A03.8,A038,2,Other shigellosis,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
22,A03.9,A039,2,"Shigellosis, unspecified",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
23,A04,A04,1,Other bacterial intestinal infections,HEADING,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
24,A04.0,A040,2,Enteropathogenic Escherichia coli infection,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
25,A04.1,A041,2,Enterotoxigenic Escherichia coli infection,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
26,A04.2,A042,2,Enteroinvasive Escherichia coli infection,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
27,A04.3,A043,2,Enterohaemorrhagic Escherichia coli infection,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
28,A04.4,A044,2,Other intestinal Escherichia coli infections,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
29,A04.5,A045,2,Campylobacter enteritis,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
30,A04.6,A046,2,Enteritis due to Yersinia enterocolitica,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
31,A04.7,A047,2,Enterocolitis due to Clostridium difficile,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
32,A04.8,A048,2,Other specified bacterial intestinal infections,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
33,A04.9,A049,2,"Bacterial intestinal infection, unspecified",True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
34,A05,A05,1,Other bacterial foodborne intoxications,HEADING,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
35,A05.0,A050,2,Food-borne staphylococcal intoxication,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
36,A05.1,A051,2,Botulism,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
37,A05.2,A052,2,Food-borne Clostridium perfringens [Clostridium welchii] intoxication,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
38,A05.3,A053,2,Food-borne Vibrio parahaemolyticus intoxication,True,Certain infectious and parasitic diseases ,Intestinal Infectious Diseases
